# robot_id pose_id x y theta
0 188 13.0000 -48.0000 0.0000
0 189 14.0000 -48.0000 0.0000
0 190 15.0000 -48.0000 0.0000
0 191 16.0000 -48.0000 0.0000
0 192 17.0000 -48.0000 0.0000
0 193 18.0000 -48.0000 0.0000
0 194 18.0000 -48.0000 1.5708
0 195 18.0000 -47.0000 1.5708
0 196 18.0000 -47.0000 -3.1416
0 197 17.0000 -47.0000 -3.1416
0 198 16.0000 -47.0000 -3.1416
0 199 15.0000 -47.0000 -3.1416
